iter	Passed	Remaining
763	9376	441
764	9388	429
765	9400	417
766	9412	404
767	9423	392
768	9435	380
769	9446	368
770	9460	355
771	9473	343
772	9485	331
773	9498	319
774	9509	306
775	9521	294
776	9536	282
777	9550	270
778	9562	257
779	9573	245
780	9584	233
781	9597	220
782	9610	208
783	9623	196
784	9635	184
785	9650	171
786	9662	159
787	9675	147
788	9687	135
789	9706	122
790	9718	110
791	9731	98
792	9745	86
793	9760	73
794	9773	61
795	9785	49
796	9797	36
797	9811	24
798	9825	12
799	9837	0
